trajet
Gare de Le Havre - Gare de Paris-St-Lazare
Gare de Dieppe - Gare de Paris-St-Lazare
Gare de Paris-St-Lazare - Gare de Rouen-Rive-Droite
Gare de Cherbourg - Gare de Paris-St-Lazare
Gare de Caen - Gare de Paris-St-Lazare
Gare de Paris-St-Lazare - Gare de Trouville-Deauville
Gare de Granville - Gare de Paris-Montp.3-Vaug.
Gare de Granville - Gare de Paris-Montparnasse 1-2
Gare de Dreux - Gare de Granville
Gare de Bourges - Gare de Paris-Austerlitz
Gare de Paris-Austerlitz - Gare de Vierzon
Gare de Bourges - Gare de Paris-Bercy
Gare de Nevers - Gare de Paris-Austerlitz
Gare de Bourges - Gare de Nevers
Gare de Nevers - Gare de Paris-Bercy
Gare de Nevers - Gare de Paris-Gare-de-Lyon
Gare de Argentan - Gare de Paris-Montp.3-Vaug.
Gare de Orl̩ans - Gare de Paris-Austerlitz
Gare de Paris-Austerlitz - Gare de Tours
Gare de Orl̩ans - Gare de Tours
Gare de Aubrais-(les) - Gare de Paris-Austerlitz
Gare de Paris-Bercy - Gare de Tours
Gare de Orl̩ans - Gare de Paris-Bercy
Gare de Paris-Austerlitz - Gare de St-Pierre-des-Corps
Gare de Calais Ville - Gare de Paris Gare du Nord
Gare de Boulogne Ville - Gare de Paris Gare du Nord
Gare de Amiens - Gare de Calais Ville
Gare de Boulogne Ville - Gare de Calais Ville
Gare de Amiens - Gare de Boulogne Ville
Gare de Amiens - Gare de Paris Gare du Nord
Gare de Cambrai Ville - Gare de Paris Gare du Nord
Gare de Maubeuge - Gare de Paris Gare du Nord
Gare de Paris Gare du Nord - Gare de St Quentin
Gare de Compi̬gne - Gare de Maubeuge
Gare de Argentan - Gare de Dreux
Gare de Caen - Gare de Le Mans
Gare de Caen - Gare de Tours
Gare de Le Mans - Gare de Paris-Montparnasse 1-2
Gare de Nogent-le-Rotrou - Gare de Paris-Montparnasse 1-2
Gare de Chartres - Gare de Paris-Montparnasse 1-2
Gare de Chartres - Gare de Le Mans
Gare de Blois-Chambord - Gare de Tours
Gare de Lyon-Perrache - Gare de Tours
Gare de Lyon-Perrache - Gare de Nevers
Gare de Latour-de-Carol-Enveitg - Gare de Villefranche-Vernet-l.B
Gare de Font-Romeu-Odeillo-Via - Gare de Villefranche-Vernet-l.B
Gare de Brian̤on - Gare de Romans-Bourg-de-P̩age
Gare de Brian̤on - Gare de Veynes-D̩voluy
Gare de Romans-Bourg-de-P̩age - Gare de Veynes-D̩voluy
Gare de Gap - Gare de Romans-Bourg-de-P̩age
Gare de Brian̤on - Gare de Gap
Gare de Brian̤on - Gare de Valence-Ville
Gare de Brian̤on - Gare de Marseille-St-Charles
Gare de Gap - Gare de Marseille-St-Charles
Gare de Aix-en-Provence - Gare de Marseille-St-Charles
Gare de Marseille-St-Charles - Gare de Nice-Ville
Gare de Les Arcs-Draguignan - Gare de Marseille-St-Charles
Gare de Grenoble - Gare de Valence-Ville
Gare de Chamb̩ry-Chal.-les-Eaux - Gare de Valence-Ville
Gare de Annecy - Gare de Valence-Ville
Gare de Annecy - Gare de Chamb̩ry-Chal.-les-Eaux
Gare de Annecy - Gare de Avignon-Centre
Gare de Annecy - Gare de Grenoble
Gare de Grenoble - Gare de Lyon-Part-Dieu
Gare de Avignon-Centre - Gare de Lyon-Part-Dieu
Gare de Lyon-Part-Dieu - Gare de Marseille-St-Charles
Gare de Avignon-Centre - Gare de Marseille-St-Charles
